date,Total_Daily_PnL,Total_Daily_Volume,Net_Trade_Flow,Trade_Count,Classification,Sentiment_Score
2024-08-20,192.602844,49914.8,-49914.8,12,Fear,0
2024-08-21,656.200925,104990.41,-104990.41,145,Fear,0
2024-08-23,1005.30527,63509.56,-63509.56,10,Fear,0
2024-08-24,0.0,34999.67,-34999.67,7,Greed,1
2024-08-26,231.236918,92611.27,-91915.77,6,Greed,1
2024-08-28,1333.359645,71160.06999999999,-71160.06999999999,9,Fear,0
2024-08-29,0.0,9995.85,-9995.85,1,Fear,0
2024-08-30,256.464,37233.24,-37233.24,6,Fear,0
2024-08-31,10.882801,107507.43000000001,-105502.89,34,Fear,0
2024-09-01,137.433093,12359.68,-12359.68,12,Fear,0
2024-09-02,0.0,30000.42,-30000.42,2,Fear,0
2024-09-04,1065.785132,131480.97,-127430.37000000001,34,Fear,0
2024-09-05,0.0,0.84,-0.84,1,Fear,0
2024-09-06,-1104.856765,39047.1,-39047.1,42,Fear,0
2024-09-08,0.0,0.11,-0.11,1,Fear,0
2024-09-09,0.0,4014.4300000000003,4014.4300000000003,2,Fear,0
2024-09-10,-219.729659,2547.28,-1013.8000000000001,3,Fear,0
2024-09-11,0.0,0.54,-0.54,1,Fear,0
2024-09-25,0.0,52754.130000000005,-52754.130000000005,9,Greed,1
2024-09-27,0.0,126097.04,-126097.04,56,Greed,1
2024-09-28,0.0,29199.21,-29199.21,4,Greed,1
2024-09-30,2710.626288,214669.85,-214669.85,106,Greed,1
2024-10-02,0.0,99954.34,-99954.34,4,Fear,0
2024-10-03,100.375782,132935.69,-132935.69,9,Fear,0
2024-10-04,0.0,0.34,-0.34,1,Fear,0
2024-10-10,0.0,300024.33999999997,-300024.33999999997,16,Fear,0
2024-10-11,8885.327477,488904.19,-488904.19,26,Fear,0
2024-10-15,1170.2260760000001,81173.36,-81173.36,7,Greed,1
2024-10-16,219.480876,80229.17,-80229.17,11,Greed,1
2024-10-17,36.11496,140531.75,-140531.75,9,Greed,1
2024-10-18,333.219141,120331.43000000001,-120331.43000000001,6,Greed,1
2024-10-19,0.0,99996.86,-99996.86,4,Greed,1
2024-10-20,389.155797,176447.86000000002,-176447.86000000002,96,Greed,1
2024-10-21,2464.915564,324117.99,-324117.99,173,Greed,1
2024-10-22,0.0,60000.36,-60000.36,3,Greed,1
2024-10-23,-46.489941,210006.07,-210006.07,18,Greed,1
2024-10-25,13235.862071,427883.18,-427883.18,30,Greed,1
2024-10-27,666.6623079999999,90664.41,-90664.41,4,Greed,1
2024-10-28,167.28016200000002,121495.25,-121495.25,13,Greed,1
2024-10-29,801.170876,613267.8099999999,-613267.8099999999,53,Greed,1
